"RentTotal" "SqftLease" "Renovation" "Leaselength" "Age" "DistCity" "DistAirport" "DriveAirp" "Location" "Occupancy" "FloorBldg" "SqftFloor" "Elevator" "Restaurant" "Wiring" "Exercise" "DistHosp" "FirmType" "FloorLease" "Renewable" "Parking"
177899 9926.63 2 6 43 1.51 15.6 30.05 "SUBOLD" 0.82 18 47423 6 "NO" "YES" "NO" 1.21 "BUS." 6 "NO" 1
1494688 48598.8 2 3 45 1.08 13.36 22.46 "CITY" 0.95 7 16976.17 3 "YES" "NO" "YES" 0.51 "BUS." 2 "NO" 5
1442632 64528.2 5 4 5 2.52 12.19 16.37 "SUBNEW" 0.68 15 37617.8 6 "YES" "YES" "NO" 0.89 "BUS." 9 "NO" 0
77960 3355.4 0 5 0 4.66 11.57 19.3 "SUBNEW" 0.37 15 44025.11 5 "YES" "YES" "NO" 1.14 "DOCTOR" 2 "NO" 0
251959 11439.65 24 8 24 4.93 11.71 20.9 "SUBNEW" 0.87 17 35983.59 8 "YES" "NO" "NO" 1.3 "BUS." 4 "NO" 0
160121 6313.95 26 7 50 1.14 13.68 22.46 "CITY" 0.83 28 29488.06 6 "NO" "NO" "NO" 0.7 "LEGAL" 13 "NO" 1
140974 6556.21 0 10 72 0.75 14.25 24.8 "CITY" 0.78 5 13866.08 2 "YES" "NO" "YES" 0.78 "DOCTOR" 3 "NO" 1
97475 4426.07 23 6 23 1.5 12.93 20.45 "CITY" 0.91 45 39181.34 6 "NO" "NO" "NO" 0.81 "GOVT" 7 "NO" 0
131014 6018.74 2 9 2 1.81 15.54 29.71 "SUBOLD" 0.86 18 45903.51 7 "YES" "NO" "YES" 1.7 "DOCTOR" 1 "NO" 0
2907313 104720.32 3 7 3 5.42 10.09 17.94 "SUBNEW" 0.68 17 12090.16 6 "NO" "NO" "NO" 0.44 "BUS." 2 "NO" 13
1363576 60720.03 31 8 61 1.28 15.53 29.93 "CITY" 0.97 19 15794 5 "NO" "NO" "NO" 0.88 "OTHER" 16 "YES" 0
1525930 74337.35 20 8 20 3.16 17.25 36.57 "SUBOLD" 0.74 17 34794.82 7 "NO" "NO" "NO" 0.89 "LEGAL" 15 "NO" 0
134518 7453.9 20 6 20 6.43 19.98 47.84 "SUBOLD" 0.77 4 33552.72 6 "NO" "NO" "NO" 2.44 "LEGAL" 4 "NO" 3
39567 1969.19 20 4 20 2.09 16.51 34.15 "SUBOLD" 0.91 16 46660.58 3 "NO" "NO" "NO" 1.04 "DOCTOR" 2 "NO" 0
144267 6008.38 10 3 28 2.07 12.59 18.07 "SUBNEW" 0.79 19 7329.27 7 "YES" "YES" "YES" 0.97 "BUS." 1 "NO" 0
68091 2354 4 3 4 0.6 13.88 23.75 "CITY" 0.91 70 42837.67 12 "YES" "YES" "YES" 0.19 "GOVT" 47 "NO" 0
208859 8919.99 3 4 3 4.09 18.38 41.16 "SUBOLD" 0.73 15 33860.69 6 "NO" "NO" "NO" 1.21 "BUS." 15 "NO" 1
386962 21390.21 25 6 25 1.9 15.32 28.84 "SUBOLD" 0.97 10 42424.47 6 "NO" "NO" "NO" 1.97 "BUS." 1 "NO" 0
497528 19747.87 2 4 80 0.93 15.35 29.67 "CITY" 0.98 10 17886.73 4 "NO" "YES" "NO" 0.32 "LEGAL" 9 "NO" 0
96522 4516.32 29 6 59 0.95 15.28 29.06 "CITY" 1 19 16822.76 6 "NO" "NO" "NO" 0.71 "DOCTOR" 3 "NO" 0
55817 2673.33 5 8 5 1.78 12.86 19.2 "SUBNEW" 0.93 18 60035.27 9 "NO" "NO" "NO" 1.12 "DOCTOR" 1 "NO" 0
2117801 81771.86 4 4 28 4.09 12.61 21.38 "SUBNEW" 0.75 27 81241.83 4 "NO" "NO" "NO" 1.7 "BUS." 3 "NO" 6
335350 17796.13 3 8 3 5.99 19.83 47 "SUBOLD" 0.69 11 38487.41 5 "NO" "NO" "NO" 2.01 "LEGAL" 9 "NO" 3
52154 2511.33 10 9 23 1.78 15.3 28.74 "SUBOLD" 0.85 22 45406.87 5 "YES" "NO" "NO" 1.85 "DOCTOR" 12 "NO" 0
162618 7091 20 3 20 5.34 11.03 20.34 "SUBNEW" 0.99 13 17038.22 4 "NO" "NO" "NO" 0.68 "BUS." 1 "NO" 0
45069 2051.62 9 10 9 2.31 14.84 27.13 "SUBNEW" 0.76 15 43428.33 3 "YES" "NO" "NO" 1.23 "DOCTOR" 8 "NO" 0
272587 11397.92 5 3 19 1.8 13.71 22.41 "SUBNEW" 0.75 15 26870.94 6 "NO" "YES" "NO" 1.47 "OTHER" 12 "NO" 0
104236 3908.35 22 9 40 1.35 13.15 22.15 "CITY" 0.86 8 25254.97 4 "NO" "NO" "NO" 0.82 "LEGAL" 8 "NO" 0
639385 31253.58 28 10 28 2.09 13.24 20.57 "SUBNEW" 0.83 16 40443.4 8 "NO" "NO" "NO" 1.62 "BUS." 15 "NO" 0
